task_num,text,grade
28,"п 27 1 1) - 0,0001 - д гастота фенотигров идтищий в 1000 зиялуии отзл 2) То, 0001 = 0,01 - д (а) - частота мутационных аллелей 3) д + р= 1; р= д- 1, р= 1- 0,01 = 0,99 - (А) частота нормальных аглелей популяции 5) д + г рд+ р с 1, г р д = 2 (0, 9 9 - 0,01)=0,0198 (Ао) гастот фокотипов в популяции Эволюционный фактор: выполнение заботать (Аа) в процессе размножения.",0
28,No27. 1) p + q=1 р*=п р=1 (частота мутаптных и нормальных аллелей) q = 1 = 1 = 0 (частота фенотипов в данной популяции) No28 Данос - гипертрихоз Решение: Р: д хх х G. Fi:,0
28,"мушация инертрикоз 2 брак (2 скрепцивание) Р: д храха мутация. нет интертрикоза полность +99 мутация, нет артрихода гигеры б мушация, нет гиперт полностью здоров Я полностью здоров В 1 браке возможно рождение ребёнка с нормальной кистью и гипертрихозом т.к. нормаль аллель нормальной кисти перешёл от матери, а гипертрихоз, переходит",0
28,"4. В- рот гипертжда 1) 1 брск a кормальное рцестие нет гипертру кус клети, арясания развития кисти, гипертрикоз накрассоверное (у кроссоверные Генотипы фенотены взможных дочерей! кисти, нет ирертрикуа аналистик рцентия кисти, нет гипертрикда Генотилы и фенотипы взглядных сыновей: хаудь аромате радения писты, гипертрику задав- нормальное развитие кисты, испортрику",3
28,"2) 2 брак хауфВ ароматия развится гипертрикди кисти, hem нормальное развитие кисти, нет гиперт, артрику и Генотипы и феротипы вулютных дочерей: аналития развития ниоти, нет кипертрикза - нормальное радение плота, нет эллергрику, Генотипы и орехотины возможных сыновей; х у два - аналогие развитие кисти, нет интертрику, нормальное развитие кисти, нет электрикут. 3) Да, вдольно, Это сын с генотипом Такой генотип получается в результате спияние гашеты от латери х и красовершая гасисты цар У- красивома) от отца. Обе гометы (хъзмлом и несут рецесленный аппель по гану русским ниоти, потому у сыра нормальное русские кисти. Сын наследует от",3
28,"No28) 1) 1 скрептивание: аа нормальное развитие кисти, без гипертриюза Аа апотамия развития кисти гипертриоз (4%) (an) F2 развитии развитии партрию 8 А а XX - аномамия. в отдыхуь -аномалия о а а ХТБ -порм. развитие кисти, бег гипертри- кистиц кисти; гипертрилоз 2 скрецивание:",0
28,нормальным развитием скелета кисти и с гипертриюзом ( это мальчик дядь). Он получил которая имеет ген гиперпу перпури- Ч-хромосому от отца (1) и материнскую 1-скл масому которая не имеет апомалию в разви- тии скелета.,0
28,"No 27. 1) Частота встречаешости заболевания = 9 = 0.0001 2) Найдем частоту шутантного аллеляд: g = Vq = 0,01 3) Найдеш частоту нормального аллел,99 из 4) Найдем частоту АА = р2 = 0, 9801 5) Найдёш частоту 2 pg = 0,0198 вопны. 6) Фактор: популяционные",0
28,Да признак ген гипертр.,3
28,"1) No No в кр. F1 д, хаха д, ажом. Каким, шперпр. В. п, шперпр. Р. о х ""х"" аном кисти хауа N, N G F. + 4, а за д, аном. 3, аком, No В первое первым браке, рождение ребенка с кормальный развитием кисти и с сипертрихозом возможно, это будет мальчик, получавший х хромосому от мктеры и красоверную хромосому от отца.",3
28,"2 8. 1) Р: харак нормальное развитие киети, есть аномался развития кисти) гипприхоз нет чинертринозя.",3
26,"26 Опираясь на представленную схему можно предположить, что предок современных сумчатых млекопитающих обитыл на тер тезультории Южной Америки.",0
28,"анк гип (Q,ank,No), (Занк,шп); (Q;No;No),(O;No;",0
28,"Дано признак ген норма Решение 2pq = 1 фенилкетонурия а = 1:10.000 Если в процессе эволюции на организм, голидьютный появится признак, рецессивная гомозшета которого не посвалит её обладателю выжить, то доля рецессивных",0
28,"а здорова. атомамя части шармальн as vencus аталанов кисти гипертра) интертриког, синоматия кисты, шортальная кисть, отсутствие гипертрикоза отсутствие гипертрикоза здорова ажемания Much",0
28,"генотипа (фенотипа) мутан мутантного река да, в равновесных популяциях 3) 3) Частота аллеия ((а)- бдо- б.,000)- 0,01; Частота аппеля 8""(А)= 1-4- 1- 0,01= 0,99; ренотипа Частота ренотипа нормального гена На: Эволюционные факторы: Кроссинговер; Естественный отбор; наследственность",0
22,4) рецепторы жаза чувствительный нейрон зритель- нейрон двигательный нейрон сининая железа. No25 1) у жирафы в сонных артериях высокое давление т.к размеры его шей во много раз больше шел выше.,1
28,"нормал нар. кисти гипертрызыз Р.п. Д. ха о Я нар. кисти в порядок гипертрихоз. уяв нар. кости за нормал нормал нормал мести норма 1 нормаг уяв корша 2 Ответ: развитие ребенка с нарушением разв норма 1 и гипертрихозом возможно, т.к между происходит просинговер в гаметах отца, залчет кроссоверной гашеты отца (у",2
28,"в Да глушущий. Кнал. в XA 4. Хо Y A Fi X XXAa кисни XXaa , Д. форма норме М. интерпр. нормы",0
28,"Рэ ? х х ху в нареч. писал клон нарица наряса Из Ха F. XXAa B ХУ А также XX Ра, в первом браке возможен ребёнок с чикером триказом и нормальным развитием кисти а а М. гипертрич. нормы.",0
28,28. а- нормальная кисть A -аномания кисти - нет гипертрихоза в есть гипертрикоз а P: норм. кисть аномалии кисти,3
28,"+ а хахв д корм трихозл хвуть аномалия хозя анонамия гипертри хоза в дав нет гипертрикоза нет акономии ха ув G. Fe? акономи? кисти х ув хара tay B Я нет аконами о» иет гипертрикоза Ка, возношно первом браке с нормальным кисти трикозом рождение сына (от х ауов) в в в развитием и с читр- От матери гатета | от отуя тресковерная гатется у",3
28,"отечность шь. (26) Наиболее древние предки сумчаших обмелали в года Южной Америке, мак коси по ресунку них (живущих в Южной Америке) было сявебое развеле- вление инсологического дерева, то ешь появилась мало видов, которые продолжили своё древо в твенгромии.",3
28,проблемы жизнсь. Нейтральные или полезные лушации закрепляются в генешине. (28),3
